seed,step,position,net_worth
456,74,-1.0,10077.399944363875
456,75,-1.0,10081.782187010085
456,76,-1.0,10078.795563931802
456,77,-1.0,10071.025365271305
456,78,0.0,10068.004057661725
456,79,1.0,10083.935709622447
456,80,1.0,10103.571136748551
456,81,1.0,10127.82730930065
456,82,1.0,10148.472468286569
456,83,1.0,10168.368434235736
456,84,1.0,10185.237107009427
456,85,0.0,10182.181535877324
456,86,0.0,10182.181535877324
456,87,0.0,10182.181535877324
456,88,0.0,10182.181535877324
456,89,0.0,10182.181535877324
456,90,-1.0,10171.68472516111
456,91,-1.0,10165.53058701755
456,92,-1.0,10160.07247031273
456,93,-1.0,10155.886845191688
456,94,-1.0,10153.643233685498
456,95,-1.0,10153.011060487985
456,96,-1.0,10152.144896707256
456,97,-1.0,10153.266097815265
456,98,-1.0,10152.87411980761
456,99,-1.0,10152.460876881334
456,100,-1.0,10150.64978137331
456,101,-1.0,10148.854202097227
456,102,-1.0,10148.289164583002
456,103,-1.0,10152.319240091649
456,104,-1.0,10155.685633550605
456,105,-1.0,10163.56317277061
456,106,-1.0,10170.86893367477
456,107,-1.0,10174.8538648806
456,108,-1.0,10177.549700502119
456,109,0.0,10174.49643559197
456,110,1.0,10178.342872403267
456,111,1.0,10185.60355674709
456,112,1.0,10192.008265601762
456,113,1.0,10206.209622616641
456,114,1.0,10221.169877404052
456,115,1.0,10229.750571422226
456,116,1.0,10231.896583259837
456,117,0.0,10228.82701428486
456,118,1.0,10220.567498213426
456,119,1.0,10215.497508431627
456,120,1.0,10210.371539082176
456,121,1.0,10211.489638922363
456,122,1.0,10213.823829221914
456,123,1.0,10216.060758243688
456,124,1.0,10204.47768370726
456,125,1.0,10190.909949209861
456,126,1.0,10180.251481250703
456,127,1.0,10163.305051980082
456,128,1.0,10151.725185085941
456,129,1.0,10155.863198051475
456,130,1.0,10166.758554895945
456,131,1.0,10177.30851014804
456,132,1.0,10192.78409520821
456,133,1.0,10204.108606631537
456,134,1.0,10215.362727681613
456,135,1.0,10216.40825297002
456,136,1.0,10213.993683276178
456,137,1.0,10217.739997789477
456,138,1.0,10219.158216923572
456,139,1.0,10215.821065617021
456,140,1.0,10221.201237232568
456,141,1.0,10223.250481868936
456,142,0.0,10220.183506724376
456,143,0.0,10220.183506724376
456,144,0.0,10220.183506724376
456,145,0.0,10220.183506724376
456,146,0.0,10220.183506724376
456,147,-1.0,10225.931109380028
456,148,-1.0,10235.080575557498
456,149,-1.0,10239.259661672791
456,150,-1.0,10250.243848533357
456,151,-1.0,10260.648530256505
456,152,-1.0,10276.877201332953
456,153,-1.0,10295.25915248085
456,154,-1.0,10317.995903268093
456,155,-1.0,10327.976421751224
456,156,0.0,10324.878028824698
456,157,1.0,10320.189225312632
456,158,1.0,10323.451879162769
456,159,1.0,10325.14546500521
456,160,1.0,10322.152523912206
456,161,1.0,10319.996192857445
456,162,1.0,10317.78635879015
456,163,1.0,10315.741358112455
456,164,1.0,10317.569507240898
456,165,1.0,10316.0969039542
456,166,1.0,10311.720927641007
456,167,1.0,10322.562545902192
456,168,1.0,10328.5158539934
456,169,1.0,10332.721032427267
456,170,1.0,10337.697528595627
456,171,1.0,10344.329184377018
456,172,1.0,10339.8377065703
456,173,1.0,10342.400775950875
456,174,0.0,10339.29805571809
456,175,0.0,10339.29805571809
456,176,0.0,10339.29805571809
456,177,0.0,10339.29805571809
456,178,0.0,10339.29805571809
456,179,-1.0,10338.133066285342
456,180,-1.0,10341.633593822437
456,181,-1.0,10347.934350689358
456,182,-1.0,10355.706975861558
456,183,-1.0,10354.720015447734
456,184,-1.0,10352.500595705633
456,185,-1.0,10352.76126181456
456,186,-1.0,10352.006876329486
456,187,-1.0,10351.83616068976
456,188,-1.0,10355.850398926468
456,189,-1.0,10365.323065669369
456,190,-1.0,10374.961258087624
456,191,-1.0,10379.857810575006
456,192,-1.0,10383.60492367144
456,193,-1.0,10388.946695667259
456,194,-1.0,10391.539646235498
456,195,-1.0,10384.29065077135
456,196,-1.0,10383.247070498812
456,197,-1.0,10381.898552335584
456,198,-1.0,10380.176504194913
456,199,-1.0,10375.850222437284
456,200,-1.0,10378.758979514978
456,201,-1.0,10373.270420409232
456,202,-1.0,10363.010460526184
456,203,-1.0,10353.848576871873
456,204,-1.0,10351.733745311323
456,205,-1.0,10353.146342627755
456,206,-1.0,10359.82897162871
456,207,-1.0,10374.749240973126
456,208,-1.0,10392.49625186255
456,209,-1.0,10401.789460335869
456,210,-1.0,10403.093640180858
456,211,-1.0,10401.804726121503
456,212,-1.0,10402.578717786795
456,213,-1.0,10400.848973605485
456,214,-1.0,10401.286015930436
